key	en	am	om	ti	so	sw	note
ui_rep_topics	What people contacted you about	ሰዎች ስለ ምን እንዳገኙዎት	Namoonni waa'ee maalii isin qunnaman	ሰባት ብዛዕባ እንታይ ከም ዝረኸቡኹም	Waxa dadku kaala soo xiriireen	Watu waliwasiliana nawe kuhusu nini	Chart heading: the most common tags. Phrased as the question a manager is actually asking.
ui_rep_languages	Languages they wrote in	የጻፉባቸው ቋንቋዎች	Afaanota ittiin barreessan	ዝጸሓፉሎም ቋንቋታት	Luqadaha ay ku qoreen	Lugha walizoandika	Chart heading: which languages customers wrote in. This is the report no competitor in this market produces.
ui_rep_no_tags	No tags yet. Tag a few tickets and this becomes the most useful chart here.	እስካሁን መለያ የለም። ጥቂት ቲኬቶችን ይለዩ፤ ይህም እዚህ ያለው በጣም ጠቃሚ ገበታ ይሆናል።	Amma mallattoon hin jiru. Tikeetii muraasa mallattaa'aa; kunis chaartii asitti baay'ee fayyadu ta'a.	ክሳብ ሕጂ መለለዪ የለን። ውሑዳት ትኬታት መልልዩ፡ እዚ ድማ ኣብዚ ዘሎ ዝያዳ ጠቓሚ ገበታ ይኸውን።	Weli astaan ma jirto. Astee tikidho yar oo kani wuxuu noqonayaa jaantuska ugu faa'iidada badan halkan.	Bado hakuna lebo. Weka lebo kwenye tikiti chache na hii itakuwa chati muhimu zaidi hapa.	Empty state of the topics chart. It says what to do, not that something is missing.
ui_delta_better	{pct} better than the period before	ካለፈው ወቅት {pct} የተሻለ	Yeroo darbee irra {pct} caalaa	ካብቲ ዝሓለፈ እዋን {pct} ዝሓሸ	{pct} kabatay mudadii hore	Bora kwa {pct} kuliko kipindi kilichotangulia	Change vs the previous period, in the good direction. {pct} is a percentage like '25%'.
ui_delta_worse	{pct} worse than the period before	ካለፈው ወቅት {pct} የከፋ	Yeroo darbee irra {pct} gadhee	ካብቲ ዝሓለፈ እዋን {pct} ዝኸፍአ	{pct} ka xumaatay mudadii hore	Mbaya kwa {pct} kuliko kipindi kilichotangulia	Change vs the previous period, in the bad direction. {pct} is a percentage.
ui_delta_too_few	Too few to compare	ለማነጻጸር በጣም ጥቂት	Wal bira qabuuf baay'ee xiqqaa	ንምንጽጻር ኣዝዩ ውሑድ	Aad u yar in la barbardhigo	Chache mno kulinganisha	Shown instead of a change when there were too few tickets for a comparison to mean anything. A percentage on three tickets is noise, and printed next to an arrow it gets repeated as a trend.
ui_delta_no_previous	Nothing to compare with yet	እስካሁን የሚነጻጸር ነገር የለም	Ammatti wanti wal bira qabamu hin jiru	ክሳብ ሕጂ ዝንጻጸር ነገር የለን	Weli waxba lama barbardhigi karo	Bado hakuna cha kulinganisha	Shown when the previous period has no data to compare against.
ui_rep_of_n	of {n}	ከ{n}	{n} keessaa	ካብ {n}	ka mid ah {n}	kati ya {n}	The denominator under a metric. {n} is how many observations it rests on.
ui_no_data	Nothing in this period	በዚህ ወቅት ምንም የለም	Yeroo kana keessa homaa hin jiru	ኣብዚ እዋን ዋላ ሓደ የለን	Waxba kuma jiraan mudadan	Hakuna chochote katika kipindi hiki	Shown where a chart or metric has nothing in the chosen period.
w_kb_intro	This might already answer your question:	ይህ ጥያቄዎን አስቀድሞ ሊመልስ ይችላል፦	Kun gaaffii keessan duraanuu deebisuu danda'a:	እዚ ንሕቶኹም ኣቐዲሙ ክምልሶ ይኽእል እዩ፦	Tan waxaa laga yaabaa inay horeba ka jawaabto su'aashaada:	Hii huenda tayari ikajibu swali lako:	CUSTOMER-FACING (widget): shown above suggested articles, BEFORE a ticket is opened. It offers, never asserts — the search may be wrong.
w_kb_helpful	Yes, that answers it	አዎ፣ ይመልሰዋል	Eeyyee, ni deebisa	እወ፡ ይምልሶ እዩ	Haa, taasi way ka jawaabaysaa	Ndiyo, hilo linajibu	CUSTOMER-FACING (widget): the customer confirms an article answered them, and no ticket is created.
w_kb_still	No, I still need help	አይ፣ አሁንም እርዳታ እፈልጋለሁ	Lakki, ammas gargaarsa barbaada	ኣይኮነን፡ ገና ሓገዝ የድልየኒ	Maya, weli caawimaad baan u baahanahay	Hapana, bado nahitaji msaada	CUSTOMER-FACING (widget): the customer rejects the suggestions; their original message is sent as normal. This must always be available — a customer must never be trapped in a search result.
w_kb_read	Read	አንብብ	Dubbisi	ኣንብብ	Akhri	Soma	CUSTOMER-FACING (widget): expands a suggested article to read it.
ui_nav_kb	Knowledge	እውቀት	Beekumsa	ፍልጠት	Aqoonta	Maarifa	Sidebar item: the knowledge base.
ui_kb_title	Knowledge base	የእውቀት መሠረት	Buufata beekumsaa	መሰረት ፍልጠት	Xarunta aqoonta	Hifadhi ya maarifa	Heading of the knowledge base page.
ui_kb_subtitle	Answers written once. A customer who finds one never waits for a person — and never becomes a ticket.	አንድ ጊዜ የተጻፉ መልሶች። አንዱን የሚያገኝ ደንበኛ ሰው አይጠብቅም — ቲኬትም አይሆንም።	Deebiiwwan al tokko barreeffaman. Maamilli tokko argatu nama hin eegu — tikeetiis hin ta'u.	ሓንሳብ እተጻሕፉ መልስታት። ሓደ ዝረክብ ዓሚል ንሰብ ኣይጽበን — ትኬትውን ኣይኸውንን።	Jawaabo hal mar la qoray. Macmiil hela mid ma sugo qof — mana noqdo tikidh.	Majibu yaliyoandikwa mara moja. Mteja anayepata moja hasubiri mtu — wala hawi tikiti.	Line under it. The point is stated plainly: an answer found is a ticket never created.
ui_kb_new	New article	አዲስ ጽሑፍ	Barruu haaraa	ሓድሽ ጽሑፍ	Maqaal cusub	Makala mpya	Button opening the blank article editor.
ui_kb_article_title	Title	ርዕስ	Mata-duree	ኣርእስቲ	Cinwaan	Kichwa	Form label: the article's title, per language. It is what a customer is offered, so it must read as an answer to a question.
ui_kb_article_body	Answer	መልስ	Deebii	መልሲ	Jawaab	Jibu	Form label: the article body, per language.
ui_kb_published	Published	ታትሟል	Maxxanfameera	ተሓቲሙ	La daabacay	Imechapishwa	Badge on an article customers can be shown.
ui_kb_draft	Draft	ረቂቅ	Wixinee	ንድፊ	Qabyo	Rasimu	Badge on an article only staff can see.
ui_kb_publish	Publish	አትም	Maxxansi	ሕተም	Daabac	Chapisha	Button making an article visible to customers.
ui_kb_unpublish	Unpublish	ከህትመት አውጣ	Maxxansa irraa kaasi	ካብ ሕትመት ኣውጽእ	Ka saar daabacaadda	Ondoa kwenye uchapishaji	Button hiding an article from customers again.
ui_kb_deflections	Answered {n} customers without a ticket	{n} ደንበኞችን ያለ ቲኬት መልሷል	Maamiltoota {n} tikeetii malee deebiseera	{n} ዓማዊል ብዘይ ትኬት መሊሱ	Wuxuu ka jawaabay {n} macmiil tikidh la'aan	Imejibu wateja {n} bila tikiti	How many customers this article answered without a ticket being opened. {n} is a number. This counts only customers who SAID it answered them, not views.
ui_kb_none	No articles yet. Write the answer your team repeats most, once.	እስካሁን ጽሑፍ የለም። ቡድንዎ በጣም የሚደጋግመውን መልስ አንድ ጊዜ ይጻፉ።	Amma barruun hin jiru. Deebii gareen keessan irra deddeebi'u, al tokko barreessaa.	ክሳብ ሕጂ ጽሑፍ የለን። እቲ ጋንታኹም ብዙሕ ግዜ ዝደግሞ መልሲ ሓንሳብ ጽሓፉ።	Weli maqaal ma jiro. Qor jawaabta kooxdaadu ugu badan ku celiso, hal mar.	Bado hakuna makala. Andika jibu ambalo timu yako hurudia zaidi, mara moja.	Empty state of the knowledge base. It says what to do, not that something is missing.
ui_bulk_macro	Apply a macro	ማክሮ ተግብር	Maakroo hojiirra oolchi	ማክሮ ተግብር	Codso makro	Tumia makro	Bulk-action button: apply one saved reply to every selected ticket.
ui_bulk_macro_review	Review before sending	ከመላክዎ በፊት ይገምግሙ	Osoo hin ergin dura ilaalaa	ቅድሚ ምስዳድ ገምግሙ	Dib u eeg intaadan dirin	Kagua kabla ya kutuma	Heading of the confirmation shown BEFORE a bulk send. In bulk there is no composer to read, so this screen is the only review that happens.
ui_bulk_macro_group	{n} customers will receive this in {lang}	{n} ደንበኞች ይህን በ{lang} ይቀበላሉ	Maamiltoonni {n} kana {lang}n ni fudhatu	{n} ዓማዊል ነዚ ብ{lang} ክቕበሉ እዮም	{n} macmiil ayaa tan ku heli doona {lang}	Wateja {n} watapokea hii kwa {lang}	One line per language in the batch. {n} is a count, {lang} a language name in its own script. Grouping by language is the point: the same button sends different texts and the agent reads at most one of them fluently.
ui_bulk_macro_fellback	{n} wrote in {from} — this macro has no {from} text, so they receive {lang}	{n}ቱ በ{from} ጽፈዋል፤ ይህ ማክሮ የ{from} ጽሑፍ ስለሌለው በ{lang} ይቀበላሉ	{n} {from}n barreessan; maakroon kun barruu {from} waan hin qabneef {lang}n fudhatu	{n} ብ{from} ጽሒፎም፡ እዚ ማክሮ ናይ {from} ጽሑፍ ስለ ዘይብሉ ብ{lang} ክቕበሉ እዮም	{n} waxay ku qoreen {from}, makradan qoraal {from} ah ma laha, sidaas darteed waxay heli doonaan {lang}	{n} waliandika kwa {from}, makro hii haina maandishi ya {from}, hivyo watapokea {lang}	Warning within a language group: some customers wrote in a language this macro has no text for, so they receive a different one. {n} is a count, {from} the language they WROTE in (the one that is missing), {lang} the language they will RECEIVE. Naming {from} is the point — it is the language somebody would have to write for this not to happen again. An earlier version named only the received language, which read as 'they have no English text' about the people being given English.
ui_bulk_macro_undeliverable	{n} cannot be reached on their channel and will be skipped	{n} በቻናላቸው ሊደረስባቸው አይችልም፤ ይዘለላሉ	{n} karaa chaanaalii isaaniitiin bira ga'uun hin danda'amu; ni darbamu	{n} ብቻነሎም ክብጻሕዎም ኣይክኣልን፡ ክድርበዩ እዮም	{n} lagama gaari karo kanaalkooda, waana la boodi doonaa	{n} hawawezi kufikiwa kwenye kituo chao na wataruka	Warning that some selected tickets have no channel to reply on (a walk-in, a logged phone call) and will be skipped. {n} is a count.
ui_bulk_macro_send	Send to {n} customers	ለ{n} ደንበኞች ላክ	Maamiltoota {n}f ergi	ናብ {n} ዓማዊል ስደድ	U dir {n} macmiil	Tuma kwa wateja {n}	The button that actually sends. It names the number of PEOPLE, not tickets — that is what makes the weight of it clear.
ui_bulk_macro_sending	Sending…	በመላክ ላይ…	Ergaa jira…	ይሰድድ ኣሎ…	Waa la dirayaa…	Inatuma…	Button text while a bulk send is running.
ui_bulk_macro_sent	Sent to {n} customers	ለ{n} ደንበኞች ተልኳል	Maamiltoota {n}f ergameera	ናብ {n} ዓማዊል ተላኢኹ	Loo diray {n} macmiil	Imetumwa kwa wateja {n}	Confirmation after every message was delivered. {n} is a count.
ui_bulk_macro_partial	Sent to {sent}, but {failed} could not be delivered	ለ{sent} ተልኳል፤ ግን {failed} ሊደርስ አልቻለም	{sent}f ergameera, garuu {failed} hin geenye	ናብ {sent} ተላኢኹ፡ ግን {failed} ክበጽሕ ኣይከኣለን	Loo diray {sent}, laakiin {failed} lama gaadhsiin karin	Imetumwa kwa {sent}, lakini {failed} hazikufikishwa	Confirmation after a PARTIAL send. {sent} and {failed} are counts. Reporting the failures is the point — '40 sent' when 37 were is the failure this wording exists to prevent.
ui_bulk_macro_nothing	None of the selected tickets can be replied to on a channel	ከተመረጡት ቲኬቶች መካከል በቻናል ሊመለስላቸው የሚችል የለም	Tikeetiiwwan filataman keessaa kan chaanaaliidhaan deebi'amuu danda'u hin jiru	ካብቶም እተመርጹ ትኬታት ብቻነል ክምለሰሎም ዝኽእል የለን	Tikidhada la doortay midna kanaal lagama jawaabi karo	Hakuna tikiti yoyote iliyochaguliwa inayoweza kujibiwa kwenye kituo	Shown when no selected ticket has a channel to reply on, so there is nothing to send.
ui_quick_add	Add	አክል	Dabali	ወስኽ	Ku dar	Ongeza	The quick-create button in the top bar. One word — it sits next to the search box.
ui_add_ticket	New ticket	አዲስ ቲኬት	Tikeetii haaraa	ሓድሽ ትኬት	Tikidh cusub	Tiketi mpya	Menu item: record a ticket that did not arrive on a channel.
ui_add_customer	New customer	አዲስ ደንበኛ	Maamila haaraa	ሓድሽ ዓሚል	Macmiil cusub	Mteja mpya	Menu item: record a person.
ui_customers	Customers	ደንበኞች	Maamiltoota	ዓማዊል	Macaamiisha	Wateja	Nav item and page title for the customer directory.
ui_customers_subtitle	The people behind the tickets. Recording someone once means the next agent they reach already knows them.	ከቲኬቶቹ ጀርባ ያሉት ሰዎች። አንድ ጊዜ የተመዘገበ ሰው በሚቀጥለው ጊዜ የሚያገኘው ወኪል አስቀድሞ ያውቀዋል።	Namoota tikeetiiwwan duuba jiran. Nama al tokko galmeessuun, yeroo itti aanu bakka bu'aan inni argatu duraan isa beeka jechuudha.	ኣብ ትሕቲ እቶም ትኬታት ዘለዉ ሰባት። ሓደ ግዜ እተመዝገበ ሰብ፡ ኣብ ዝቕጽል ዝረኽቦ ወኪል ኣቐዲሙ ይፈልጦ።	Dadka tikidhada ka danbeeya. Qofka hal mar la diiwaan geliyo, wakiilka xiga ee uu la xiriiro horey buu u yaqaan.	Watu walio nyuma ya tiketi. Kumsajili mtu mara moja kunamaanisha wakala atakayemhudumia baadaye tayari anamjua.	Says what the directory is FOR, not what it contains.
ui_customers_none	No customers yet. Add the person you are talking to, or name the customer on a ticket that arrived anonymously.	እስካሁን ደንበኛ የለም። እያነጋገሩት ያለውን ሰው ያክሉ፣ ወይም ስም-አልባ በደረሰ ቲኬት ላይ ደንበኛውን ይሰይሙ።	Amma maamilli hin jiru. Nama waliin haasoftu dabali, yookaan tikeetii maqaa malee dhufe irratti maamilicha moggaasi.	ክሳብ ሕጂ ዓሚል የለን። ነቲ እትዛረቦ ሰብ ወስኽ፡ ወይ ኣብቲ ብዘይ ስም ዝመጸ ትኬት ነቲ ዓሚል ሰይሞ።	Weli macmiil ma jiro. Ku dar qofka aad la hadlayso, ama magacaw macmiilka tikidhka magac la'aanta ah u yimid.	Bado hakuna wateja. Mwongeze mtu unayezungumza naye, au mtaje mteja kwenye tiketi iliyofika bila jina.	Empty state. Names both ways a customer gets recorded, so it is a next step rather than a statement that something is missing.
ui_customer_search	Search by name, phone or email	በስም፣ በስልክ ወይም በኢሜይል ይፈልጉ	Maqaa, bilbila yookaan iimeeliidhaan barbaadi	ብስም፡ ብተሌፎን ወይ ብኢመይል ድለ	Ku raadi magac, taleefan ama iimayl	Tafuta kwa jina, simu au barua pepe	Placeholder in the directory search box.
ui_customer_name	Name	ስም	Maqaa	ስም	Magac	Jina	Field label.
ui_customer_phone	Phone	ስልክ	Bilbila	ተሌፎን	Taleefan	Simu	Field label.
ui_customer_email	Email	ኢሜይል	Iimeelii	ኢመይል	Iimayl	Barua pepe	Field label.
ui_customer_notes	Notes	ማስታወሻ	Yaadannoo	መዘኻኸሪ	Xusuus-qor	Madokezo	Field label for free text staff keep about a customer.
ui_customer_language	Language they prefer	የሚመርጡት ቋንቋ	Afaan filatan	ዝመርጽዎ ቋንቋ	Luqadda ay doorbidaan	Lugha wanayopendelea	Field label. 'Prefer' matters — it is the language the desk will WRITE to them in, not one detected once.
ui_customer_phone_hint	The phone number is how the same person is recognised next time. 09… or 07…, or the full international form.	የስልክ ቁጥሩ ተመሳሳይ ሰው በሚቀጥለው ጊዜ የሚታወቅበት ነው። 09… ወይም 07…፣ ወይም ሙሉ ዓለም አቀፍ ቅርጽ።	Lakkoofsi bilbilaa akkaataa namni sun yeroo itti aanu ittiin beekamuudha. 09… yookaan 07…, yookaan bifa idil-addunyaa guutuu.	እቲ ቁጽሪ ተሌፎን እቲ ሰብ ኣብ ዝቕጽል ግዜ ዝልለየሉ እዩ። 09… ወይ 07…፡ ወይ ምሉእ ኣህጉራዊ ቅርጺ።	Lambarka taleefanka ayaa ah sida qofkaas mar kale loo aqoonsanayo. 09… ama 07…, ama qaabka caalamiga ah ee buuxa.	Namba ya simu ndiyo njia ya kumtambua mtu huyo tena. 09… au 07…, au muundo kamili wa kimataifa.	Explains why the phone number is required. It is the identity, not a contact detail.
ui_customer_existing	You already had this customer on file — opening their record instead of making a second one.	ይህ ደንበኛ አስቀድሞ በመዝገብ ላይ ነበር — ሁለተኛ ከመፍጠር ይልቅ መዝገባቸው ተከፍቷል።	Maamilli kun duraanuu galmee keessa ture — lammaffaa uumuu mannaa galmee isaanii banameera.	እዚ ዓሚል ኣቐዲሙ ኣብ መዝገብ ነይሩ — ካልኣይ ካብ ምፍጣር ኣብ ክንዲ መዝገቦም ተኸፊቱ።	Macmiilkan horey buu diiwaanka ugu jiray — halkii mid labaad la sameyn lahaa, diiwaankiisii ayaa la furay.	Mteja huyu tayari alikuwa kwenye kumbukumbu — badala ya kutengeneza wa pili, rekodi yake imefunguliwa.	Shown when saving a 'new' customer matched somebody already on file. Not an error — the right thing happened and the agent should know.
ui_customer_tickets	Tickets: {n}	ቲኬቶች፦ {n}	Tikeetii: {n}	ትኬታት፦ {n}	Tikidhada: {n}	Tiketi: {n}	Count on a directory row. {n} is a number. Deliberately a LABEL plus a number rather than "{n} tickets" — embedding a count inside a noun phrase needs plural rules, and they differ across all six languages, so an inflected form would be wrong in most of them. Keep the noun uninflected.
ui_customer_history	Their history	ታሪካቸው	Seenaa isaanii	ታሪኾም	Taariikhdooda	Historia yao	Heading above a customer's past tickets.
ui_customer_no_history	No tickets yet for this customer.	ለዚህ ደንበኛ እስካሁን ቲኬት የለም።	Maamila kanaaf amma tikeetiin hin jiru.	ነዚ ዓሚል ክሳብ ሕጂ ትኬት የለን።	Macmiilkan weli tikidh ma laha.	Bado hakuna tiketi kwa mteja huyu.	Empty state on a customer with no tickets.
ui_new_ticket_title	Log a ticket	ቲኬት ይመዝግቡ	Tikeetii galmeessi	ትኬት መዝግብ	Diiwaan geli tikidh	Sajili tiketi	Title of the manual ticket form. 'Log' not 'create' — the work already happened, this is recording it.
ui_new_ticket_subtitle	A call you took, someone at the counter — work that did not arrive on a channel still belongs on the desk.	የተቀበሉት ጥሪ፣ በቆጣሪው ላይ ያለ ሰው — በቻናል ያልደረሰ ሥራም ቢሆን የዴስኩ ነው።	Bilbila fudhatte, nama fuuldura teessoo jiru — hojiin karaa chaanaalii hin dhufin illee kan deeskii ti.	እተቐበልካዮ ጻውዒት፡ ኣብ መቐበሊ ዘሎ ሰብ — ብቻነል ዘይመጸ ስራሕ እውን ናይቲ ደስክ እዩ።	Wac aad qaadatay, qof kaunterka jooga — shaqada aan kanaal ku iman weli waxay leedahay deeskaas.	Simu uliyopokea, mtu aliye kaunta — kazi ambayo haikuja kupitia kituo bado ni ya dawati hili.	Says which situations this form is for.
ui_ticket_subject	What is it about	ስለ ምንድን ነው	Waa'ee maalii	ብዛዕባ እንታይ እዩ	Waa maxay arrinta	Ni kuhusu nini	Field label, phrased as the question an agent would actually ask.
ui_ticket_description	What they said	ያሉት ነገር	Waan isaan jedhan	ዝበልዎ	Waxay yiraahdeen	Walichosema	Field label for what the customer said.
ui_ticket_description_hint	Recorded as the customer's own first message on the timeline, not as something the desk said.	በጊዜ መስመሩ ላይ የደንበኛው የመጀመሪያ መልእክት ሆኖ ይመዘገባል እንጂ ዴስኩ እንዳለው አይደለም።	Sarara yeroo irratti akka ergaa jalqabaa maamilichaa galmaa'a malee akka waan deeskiin jedhee miti.	ኣብቲ መስመር ግዜ ከም ናይቲ ዓሚል ቀዳማይ መልእኽቲ እዩ ዝምዝገብ እምበር ከም ናይቲ ደስክ ኣይኮነን።	Waxaa loo diiwaan gelinayaa fariinta ugu horreysa ee macmiilka, ma aha wax deesku yiri.	Inarekodiwa kama ujumbe wa kwanza wa mteja mwenyewe, si kama kitu dawati lilisema.	Explains that this is recorded as the CUSTOMER's words on the timeline, so an agent does not write it as a reply.
ui_ticket_how	How it reached you	እንዴት እንደደረሰዎት	Akkaataa itti si qaqqabe	ከመይ ከም ዝበጽሓካ	Sida uu kuu soo gaaray	Jinsi ilivyokufikia	Field label for the channel picker on a manual ticket.
ui_channel_phone_call	Phone call	የስልክ ጥሪ	Bilbila	ጻውዒት ተሌፎን	Wicitaan taleefan	Simu	Channel option: a call the agent took.
ui_channel_walk_in	In person	በአካል	Dhuunfaadhaan	ብኣካል	Shakhsi ahaan	Ana kwa ana	Channel option: somebody physically present.
ui_ticket_customer	Customer	ደንበኛ	Maamila	ዓሚል	Macmiil	Mteja	Field label for the person the ticket is about. Also the inbox column heading.
ui_ticket_customer_find	Search for them, or type a new phone number	ይፈልጓቸው፣ ወይም አዲስ የስልክ ቁጥር ይተይቡ	Isaan barbaadi, yookaan lakkoofsa bilbilaa haaraa barreessi	ድለዮም፡ ወይ ሓድሽ ቁጽሪ ተሌፎን ጽሓፍ	Raadi, ama qor lambar taleefan cusub	Watafute, au andika namba mpya ya simu	Placeholder for the customer picker: search existing OR type a new number to create one inline.
ui_ticket_no_reply_warning	A logged call has no channel to reply on. Answer this one by calling them back — the desk cannot send to it.	የተመዘገበ ጥሪ የሚመልስበት ቻናል የለውም። ይህን መልሰው በመደወል ይመልሱ — ዴስኩ ወደዚህ መላክ አይችልም።	Bilbilli galmaa'e karaa deebii itti kennan hin qabu. Kana deebisanii bilbiluudhaan deebisi — deeskiin gara kanaatti erguu hin danda'u.	እተመዝገበ ጻውዒት መልሲ ዝወሃበሉ ቻነል የብሉን። ነዚ መሊስካ ብምድዋል መልሶ — እቲ ደስክ ናብዚ ክሰድድ ኣይክእልን።	Wicitaan la diiwaan geliyay ma laha kanaal lagaga jawaabo. Kan uga jawaab adigoo dib u wacaya — deesku ma diri karo.	Simu iliyorekodiwa haina kituo cha kujibia. Jibu hii kwa kuwapigia tena — dawati haliwezi kutuma humo.	Shown on a ticket with no channel behind it. The desk genuinely cannot send a message to a logged phone call, and saying so is the point — the alternative is a composer that silently fails.
ui_ticket_created	Ticket #{n} logged	ቲኬት #{n} ተመዝግቧል	Tikeetiin #{n} galmaa'eera	ትኬት #{n} ተመዝጊቡ	Tikidh #{n} waa la diiwaan geliyay	Tiketi #{n} imesajiliwa	Confirmation after logging. {n} is the ticket number.
ui_identify_customer	Name this customer	ይህን ደንበኛ ይሰይሙ	Maamila kana moggaasi	ነዚ ዓሚል ሰይሞ	Magacaw macmiilkan	Mtaje mteja huyu	Button on a ticket that arrived anonymously.
ui_identify_hint	This ticket arrived without a name. Linking it to a customer carries the identity onto everything they send next.	ይህ ቲኬት ያለ ስም ደርሷል። ከደንበኛ ጋር ማገናኘት ማንነቱን ቀጥሎ ወደሚልኩት ሁሉ ያሸጋግራል።	Tikeetiin kun maqaa malee dhufe. Maamila waliin walqabsiisuun eenyummaa isaa gara waan itti aanee ergan hundatti dabarsa.	እዚ ትኬት ብዘይ ስም እዩ መጺኡ። ምስ ዓሚል ምትእስሳር ነቲ መንነት ናብ ዝቕጽል ዝሰዱዎ ኩሉ የሰጋግሮ።	Tikidhkan wuxuu yimid magac la'aan. Isku xirka macmiil wuxuu aqoonsiga u gudbinayaa wax kasta oo ay xigta soo diraan.	Tiketi hii ilifika bila jina. Kuiunganisha na mteja hupeleka utambulisho kwenye kila kitu watakachotuma baadaye.	Explains that naming the customer also teaches the CONVERSATION who they are, so the next message already knows.
ui_customer_since	Customer since {date}	ደንበኛ ከ{date} ጀምሮ	Maamila {date} irraa eegalee	ካብ {date} ጀሚሩ ዓሚል	Macmiil tan iyo {date}	Mteja tangu {date}	Shown on a customer's page. {date} is a formatted date. 'Customer since' rather than 'created' — the record is about a relationship, not a row.
ui_customer_open_tickets	Open now	አሁን ክፍት	Amma banaa	ሕጂ ክፉት	Hadda furan	Wazi sasa	Stat label on a customer's page: how many of their tickets are open right now.
ui_customer_total_tickets	All time	በጠቅላላው	Yeroo hunda	ብጠቕላላ	Wakhti walba	Muda wote	Stat label on a customer's page: how many tickets they have ever opened.
ui_customer_edit	Edit details	ዝርዝሮችን አርትዕ	Bal'ina gulaali	ዝርዝራት ኣርትዕ	Wax ka beddel faahfaahinta	Hariri maelezo	Button that turns the customer's details into an editable form.
ui_customer_new_ticket	Log a ticket for them	ለእነሱ ቲኬት ይመዝግቡ	Isaaniif tikeetii galmeessi	ንዓታቶም ትኬት መዝግብ	Tikidh u diiwaan geli	Wasajilie tiketi	Button on a customer's page that starts a ticket already attached to them. The point is that a known caller does not get re-identified.
ui_customer_notes_hint	What the team should know before speaking to them. Staff only — never shown to the customer.	ከማነጋገራቸው በፊት ቡድኑ ማወቅ ያለበት። ለሠራተኞች ብቻ — ለደንበኛው በጭራሽ አይታይም።	Isaan waliin haasa'uun dura wanti gareen beekuu qabu. Hojjettootaaf qofa — maamilichaaf gonkumaa hin argisiifamu.	ምስኦም ቅድሚ ምዝራብ እቲ ጋንታ ክፈልጦ ዘለዎ። ንሰራሕተኛታት ጥራይ — ንዓሚል ፈጺሙ ኣይረአን።	Waxa kooxdu ogaan lahayd ka hor inta aanay la hadlin. Shaqaalaha kaliya — waligeed macmiilka lama tuso.	Kile timu inapaswa kujua kabla ya kuzungumza nao. Wafanyakazi pekee — hakionyeshwi kamwe kwa mteja.	Under the notes field. Says plainly that notes are internal — an agent who is unsure will otherwise write nothing useful.
ui_customer_no_notes	No notes yet.	እስካሁን ማስታወሻ የለም።	Amma yaadannoon hin jiru.	ክሳብ ሕጂ መዘኻኸሪ የለን።	Weli xusuus-qor ma jiro.	Bado hakuna madokezo.	Empty state where a customer has no notes.
ui_customer_saved	Saved	ተቀምጧል	Olkaa'ameera	ተዓቂቡ	Waa la keydiyay	Imehifadhiwa	Brief confirmation after saving a customer's details.
ui_customer_back	All customers	ሁሉም ደንበኞች	Maamiltoota hunda	ኩሎም ዓማዊል	Macaamiisha oo dhan	Wateja wote	Link from one customer's page back to the directory.
ui_customer_open_record	Open their record	መዝገባቸውን ክፈት	Galmee isaanii bani	መዝገቦም ክፈት	Fur diiwaankooda	Fungua rekodi yao	Link from a ticket's customer rail through to that customer's full record.
ui_customer_reach	How to reach them	እንዴት እንደሚያገኟቸው	Akkamitti isaan qunnamtu	ከመይ ጌርካ ትረኽቦም	Sida loo gaaro	Jinsi ya kuwafikia	Heading of the rail on a customer's record. The question it answers is 'can the desk actually message this person', which is not the same as what contact details are on file.
ui_customer_channels_used	They have written in on	የጻፉት በ	Karaa isaan barreessan	ዝጸሓፍሉ	Waxay ka soo qoreen	Wameandika kupitia	Label above the list of channels this customer has actually written in on.
ui_customer_no_channels	They have never written in — every ticket here was logged by staff, so the desk cannot message them.	ጽፈው አያውቁም — እዚህ ያለው እያንዳንዱ ቲኬት በሠራተኞች የተመዘገበ ነው፣ ስለዚህ ዴስኩ መልእክት ሊልክላቸው አይችልም።	Takkaa hin barreessine — tikeetiin as jiru hundi hojjettootaan galmaa'e, kanaaf deeskiin ergaa isaanii erguu hin danda'u.	ፈጺሞም ጽሒፎም ኣይፈልጡን — ኩሉ እዚ ትኬት ብሰራሕተኛታት እዩ ተመዝጊቡ፡ ስለዚ እቲ ደስክ መልእኽቲ ክሰደሎም ኣይክእልን።	Waligood ma soo qorin — tikidh kasta oo halkan ah shaqaaluhu diiwaan geliyeen, sidaas darteed deesku fariin uma diri karo.	Hawajawahi kuandika — kila tiketi hapa ilisajiliwa na wafanyakazi, hivyo dawati haliwezi kuwatumia ujumbe.	Shown for a customer who only exists because staff logged calls for them. The desk genuinely cannot send them anything, and saying so is the point.
ui_customer_call	Call them	ይደውሉላቸው	Bilbili	ደውለሎም	Wac	Wapigie simu	A tel: link. Opens the phone app or a softphone.
ui_customer_email_them	Email them	ኢሜይል ይላኩላቸው	Iimeelii ergi	ኢመይል ስደደሎም	Iimayl u dir	Watumie barua pepe	A mailto: link. Deliberately the operator's own mail client — a message sent from there is NOT on the ticket, which is why it sits under 'how to reach them' rather than beside the reply box.
